Infinitive,нараста́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,нараста́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,нараста́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нараста́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,нараста́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,нараста́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,нараста́ю
2nd Sing,нараста́ешь
3rd Sing,нараста́ет
1st Pl,нараста́ем
2nd Pl,нараста́ете
3rd Pl,нараста́ют
Past M,нараста́л
Past F,нараста́ла
Past N,нараста́ло
Past PL,нараста́ли
Imp S,нараста́й
Imp PL,нараста́йте
