Infinitive,навра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,навра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,на́вранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,навра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,навра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,навру́
2nd Sing,наврёшь
3rd Sing,наврёт
1st Pl,наврём
2nd Pl,наврёте
3rd Pl,навру́т
Past M,навра́л
Past F,наврала́
Past N,навра́ло
Past PL,навра́ли
Imp S,наври́
Imp PL,наври́те
