Infinitive,нажи́ть
Zaliznyak Class,16b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нажи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,на́житый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,нажи́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,нажи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,нажи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,наживу́
2nd Sing,наживёшь
3rd Sing,наживёт
1st Pl,наживём
2nd Pl,наживёте
3rd Pl,наживу́т
Past M,на́жил
Past F,нажила́
Past N,на́жило
Past PL,на́жили
Imp S,наживи́
Imp PL,наживи́те
