Infinitive,наста́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,наста́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наста́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,наста́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,наста́ну
2nd Sing,наста́нешь
3rd Sing,наста́нет
1st Pl,наста́нем
2nd Pl,наста́нете
3rd Pl,наста́нут
Past M,наста́л
Past F,наста́ла
Past N,наста́ло
Past PL,наста́ли
Imp S,наста́нь
Imp PL,наста́ньте
