Infinitive,настора́живаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,настора́живающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,настора́живавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,настора́живаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,настора́живавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,настора́живаюсь
2nd Sing,настора́живаешься
3rd Sing,настора́живается
1st Pl,настора́живаемся
2nd Pl,настора́живаетесь
3rd Pl,настора́живаются
Past M,настора́живался
Past F,настора́живалась
Past N,настора́живалось
Past PL,настора́живались
Imp S,настора́живайся
Imp PL,настора́живайтесь
