Infinitive,навостри́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,навостри́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,навострённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,навостри́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,навостри́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,навострю́
2nd Sing,навостри́шь
3rd Sing,навостри́т
1st Pl,навостри́м
2nd Pl,навостри́те
3rd Pl,навостря́т
Past M,навостри́л
Past F,навостри́ла
Past N,навостри́ло
Past PL,навостри́ли
Imp S,навостри́
Imp PL,навостри́те
