Infinitive,нажа́ть
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нажа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нажа́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нажа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нажа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нажму́
2nd Sing,нажмёшь
3rd Sing,нажмёт
1st Pl,нажмём
2nd Pl,нажмёте
3rd Pl,нажму́т
Past M,нажа́л
Past F,нажа́ла
Past N,нажа́ло
Past PL,нажа́ли
Imp S,нажми́
Imp PL,нажми́те
