Infinitive,напра́шиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,напра́шивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,напра́шивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,напра́шиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,напра́шивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,напра́шиваюсь
2nd Sing,напра́шиваешься
3rd Sing,напра́шивается
1st Pl,напра́шиваемся
2nd Pl,напра́шиваетесь
3rd Pl,напра́шиваются
Past M,напра́шивался
Past F,напра́шивалась
Past N,напра́шивалось
Past PL,напра́шивались
Imp S,напра́шивайся
Imp PL,напра́шивайтесь
