Infinitive,надвига́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,надвига́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,надвига́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,надвига́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,надвига́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,надвига́юсь
2nd Sing,надвига́ешься
3rd Sing,надвига́ется
1st Pl,надвига́емся
2nd Pl,надвига́етесь
3rd Pl,надвига́ются
Past M,надвига́лся
Past F,надвига́лась
Past N,надвига́лось
Past PL,надвига́лись
Imp S,надвига́йся
Imp PL,надвига́йтесь
