Infinitive,напусти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,напусти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напу́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,напусти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,напусти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,напущу́
2nd Sing,напу́стишь
3rd Sing,напу́стит
1st Pl,напу́стим
2nd Pl,напу́стите
3rd Pl,напу́стят
Past M,напусти́л
Past F,напусти́ла
Past N,напусти́ло
Past PL,напусти́ли
Imp S,напусти́
Imp PL,напусти́те
