Infinitive,нагну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нагну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,на́гнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нагну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нагну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нагну́
2nd Sing,нагнёшь
3rd Sing,нагнёт
1st Pl,нагнём
2nd Pl,нагнёте
3rd Pl,нагну́т
Past M,нагну́л
Past F,нагну́ла
Past N,нагну́ло
Past PL,нагну́ли
Imp S,нагни́
Imp PL,нагни́те
