Infinitive,нанести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нанёсший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нанесённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нанеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нанёсши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нанесу́
2nd Sing,нанесёшь
3rd Sing,нанесёт
1st Pl,нанесём
2nd Pl,нанесёте
3rd Pl,нанесу́т
Past M,нанёс
Past F,нанесла́
Past N,нанесло́
Past PL,нанесли́
Imp S,нанеси́
Imp PL,нанеси́те
