Infinitive,насы́титься
Zaliznyak Class,4a(-щ-)
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,насы́тившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,насы́тившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,насы́щусь
2nd Sing,насы́тишься
3rd Sing,насы́тится
1st Pl,насы́тимся
2nd Pl,насы́титесь
3rd Pl,насы́тятся
Past M,насы́тился
Past F,насы́тилась
Past N,насы́тилось
Past PL,насы́тились
Imp S,насы́ться
Imp PL,насы́тьтесь
