Infinitive,награ́бить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,награ́бивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,награ́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,награ́бив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,награ́бивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,награ́блю
2nd Sing,награ́бишь
3rd Sing,награ́бит
1st Pl,награ́бим
2nd Pl,награ́бите
3rd Pl,награ́бят
Past M,награ́бил
Past F,награ́била
Past N,награ́било
Past PL,награ́били
Imp S,награ́бь
Imp PL,награ́бьте
