Infinitive,назва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,назва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,на́званный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,назва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,назва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,назову́
2nd Sing,назовёшь
3rd Sing,назовёт
1st Pl,назовём
2nd Pl,назовёте
3rd Pl,назову́т
Past M,назва́л
Past F,назвала́
Past N,назва́ло
Past PL,назва́ли
Imp S,назови́
Imp PL,назови́те
