Infinitive,набра́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,набра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,набра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,наберу́сь
2nd Sing,наберёшься
3rd Sing,наберётся
1st Pl,наберёмся
2nd Pl,наберётесь
3rd Pl,наберу́тся
Past M,набра́лся
Past F,набрала́сь
Past N,набрало́сь
Past PL,набрали́сь
Imp S,набери́сь
Imp PL,набери́тесь
