Infinitive,насторожи́ть
Zaliznyak Class,4b[⑧]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,насторожи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,насторожённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,насторо́женный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,насторожи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,насторожи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,насторожу́
2nd Sing,насторожи́шь
3rd Sing,насторожи́т
1st Pl,насторожи́м
2nd Pl,насторожи́те
3rd Pl,насторожа́т
Past M,насторожи́л
Past F,насторожи́ла
Past N,насторожи́ло
Past PL,насторожи́ли
Imp S,насторожи́
Imp PL,насторожи́те
