Infinitive,наруша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наруша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наруша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наруша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наруша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наруша́юсь
2nd Sing,наруша́ешься
3rd Sing,наруша́ется
1st Pl,наруша́емся
2nd Pl,наруша́етесь
3rd Pl,наруша́ются
Past M,наруша́лся
Past F,наруша́лась
Past N,наруша́лось
Past PL,наруша́лись
Imp S,наруша́йся
Imp PL,наруша́йтесь
