Infinitive,накрути́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,накрути́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,накру́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,накрути́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,накрути́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,накручу́
2nd Sing,накру́тишь
3rd Sing,накру́тит
1st Pl,накру́тим
2nd Pl,накру́тите
3rd Pl,накру́тят
Past M,накрути́л
Past F,накрути́ла
Past N,накрути́ло
Past PL,накрути́ли
Imp S,накрути́
Imp PL,накрути́те
