Infinitive,налива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,налива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,налива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,налива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,налива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,налива́юсь
2nd Sing,налива́ешься
3rd Sing,налива́ется
1st Pl,налива́емся
2nd Pl,налива́етесь
3rd Pl,налива́ются
Past M,налива́лся
Past F,налива́лась
Past N,налива́лось
Past PL,налива́лись
Imp S,налива́йся
Imp PL,налива́йтесь
