Infinitive,нарожда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нарожда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,нарожда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нарожда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,нарожда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нарожда́юсь
2nd Sing,нарожда́ешься
3rd Sing,нарожда́ется
1st Pl,нарожда́емся
2nd Pl,нарожда́етесь
3rd Pl,нарожда́ются
Past M,нарожда́лся
Past F,нарожда́лась
Past N,нарожда́лось
Past PL,нарожда́лись
Imp S,нарожда́йся
Imp PL,нарожда́йтесь
