Infinitive,начерта́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,начерта́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наче́ртанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,начерта́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,начерта́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,начерта́ю
2nd Sing,начерта́ешь
3rd Sing,начерта́ет
1st Pl,начерта́ем
2nd Pl,начерта́ете
3rd Pl,начерта́ют
Past M,начерта́л
Past F,начерта́ла
Past N,начерта́ло
Past PL,начерта́ли
Imp S,начерта́й
Imp PL,начерта́йте
