Infinitive,натяну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,натяну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,натя́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,натяну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,натяну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,натяну́
2nd Sing,натя́нешь
3rd Sing,натя́нет
1st Pl,натя́нем
2nd Pl,натя́нете
3rd Pl,натя́нут
Past M,натяну́л
Past F,натяну́ла
Past N,натяну́ло
Past PL,натяну́ли
Imp S,натяни́
Imp PL,натяни́те
