Infinitive,накача́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,накача́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нака́чанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,накача́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,накача́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,накача́ю
2nd Sing,накача́ешь
3rd Sing,накача́ет
1st Pl,накача́ем
2nd Pl,накача́ете
3rd Pl,накача́ют
Past M,накача́л
Past F,накача́ла
Past N,накача́ло
Past PL,накача́ли
Imp S,накача́й
Imp PL,накача́йте
