Infinitive,набежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,набежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,набежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,набежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,набегу́
2nd Sing,набежи́шь
3rd Sing,набежи́т
1st Pl,набежи́м
2nd Pl,набежи́те
3rd Pl,набегу́т
Past M,набежа́л
Past F,набежа́ла
Past N,набежа́ло
Past PL,набежа́ли
Imp S,набеги́
Imp PL,набеги́те
