Infinitive,накали́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,накали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,накалённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,накали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,накали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,накалю́
2nd Sing,накали́шь
3rd Sing,накали́т
1st Pl,накали́м
2nd Pl,накали́те
3rd Pl,накаля́т
Past M,накали́л
Past F,накали́ла
Past N,накали́ло
Past PL,накали́ли
Imp S,накали́
Imp PL,накали́те
