Infinitive,наезжа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наезжа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наезжа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наезжа́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наезжа́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,наезжа́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,наезжа́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,наезжа́ю
2nd Sing,наезжа́ешь
3rd Sing,наезжа́ет
1st Pl,наезжа́ем
2nd Pl,наезжа́ете
3rd Pl,наезжа́ют
Past M,наезжа́л
Past F,наезжа́ла
Past N,наезжа́ло
Past PL,наезжа́ли
Imp S,наезжа́й
Imp PL,наезжа́йте
