Infinitive,насчита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,насчита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,насчи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,насчита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,насчита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,насчита́ю
2nd Sing,насчита́ешь
3rd Sing,насчита́ет
1st Pl,насчита́ем
2nd Pl,насчита́ете
3rd Pl,насчита́ют
Past M,насчита́л
Past F,насчита́ла
Past N,насчита́ло
Past PL,насчита́ли
Imp S,насчита́й
Imp PL,насчита́йте
