Infinitive,наве́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наве́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наве́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наве́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наве́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наве́дываюсь
2nd Sing,наве́дываешься
3rd Sing,наве́дывается
1st Pl,наве́дываемся
2nd Pl,наве́дываетесь
3rd Pl,наве́дываются
Past M,наве́дывался
Past F,наве́дывалась
Past N,наве́дывалось
Past PL,наве́дывались
Imp S,наве́дывайся
Imp PL,наве́дывайтесь
