Infinitive,наска́кивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,наска́кивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наска́кивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наска́кивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наска́кивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,наска́кивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,наска́киваю
2nd Sing,наска́киваешь
3rd Sing,наска́кивает
1st Pl,наска́киваем
2nd Pl,наска́киваете
3rd Pl,наска́кивают
Past M,наска́кивал
Past F,наска́кивала
Past N,наска́кивало
Past PL,наска́кивали
Imp S,наска́кивай
Imp PL,наска́кивайте
