Infinitive,надви́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,надви́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,надви́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,надви́нусь
2nd Sing,надви́нешься
3rd Sing,надви́нется
1st Pl,надви́немся
2nd Pl,надви́нетесь
3rd Pl,надви́нутся
Past M,надви́нулся
Past F,надви́нулась
Past N,надви́нулось
Past PL,надви́нулись
Imp S,надви́нься
Imp PL,надви́ньтесь
