Infinitive,напуга́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,напуга́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напу́ганный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,напуга́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,напуга́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,напуга́ю
2nd Sing,напуга́ешь
3rd Sing,напуга́ет
1st Pl,напуга́ем
2nd Pl,напуга́ете
3rd Pl,напуга́ют
Past M,напуга́л
Past F,напуга́ла
Past N,напуга́ло
Past PL,напуга́ли
Imp S,напуга́й
Imp PL,напуга́йте
