Infinitive,наполня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наполня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наполня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наполня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наполня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наполня́юсь
2nd Sing,наполня́ешься
3rd Sing,наполня́ется
1st Pl,наполня́емся
2nd Pl,наполня́етесь
3rd Pl,наполня́ются
Past M,наполня́лся
Past F,наполня́лась
Past N,наполня́лось
Past PL,наполня́лись
Imp S,наполня́йся
Imp PL,наполня́йтесь
