Infinitive,наблюда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наблюда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наблюда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наблюда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наблюда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наблюда́юсь
2nd Sing,наблюда́ешься
3rd Sing,наблюда́ется
1st Pl,наблюда́емся
2nd Pl,наблюда́етесь
3rd Pl,наблюда́ются
Past M,наблюда́лся
Past F,наблюда́лась
Past N,наблюда́лось
Past PL,наблюда́лись
Imp S,наблюда́йся
Imp PL,наблюда́йтесь
