Infinitive,наряди́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наряди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наряди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,наряжу́сь
2nd Sing,наря́дишься
3rd Sing,наря́дится
1st Pl,наря́димся
2nd Pl,наря́дитесь
3rd Pl,наря́дятся
Past M,наряди́лся
Past F,наряди́лась
Past N,наряди́лось
Past PL,наряди́лись
Imp S,наряди́сь
Imp PL,наряди́тесь
