Infinitive,нарисова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нарисова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нарисо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нарисова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нарисова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нарису́ю
2nd Sing,нарису́ешь
3rd Sing,нарису́ет
1st Pl,нарису́ем
2nd Pl,нарису́ете
3rd Pl,нарису́ют
Past M,нарисова́л
Past F,нарисова́ла
Past N,нарисова́ло
Past PL,нарисова́ли
Imp S,нарису́й
Imp PL,нарису́йте
