Infinitive,наколо́ть
Zaliznyak Class,10c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наколо́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нако́лотый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наколо́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наколо́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наколю́
2nd Sing,нако́лешь
3rd Sing,нако́лет
1st Pl,нако́лем
2nd Pl,нако́лете
3rd Pl,нако́лют
Past M,наколо́л
Past F,наколо́ла
Past N,наколо́ло
Past PL,наколо́ли
Imp S,наколи́
Imp PL,наколи́те
