Infinitive,наката́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наката́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нака́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наката́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наката́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наката́ю
2nd Sing,наката́ешь
3rd Sing,наката́ет
1st Pl,наката́ем
2nd Pl,наката́ете
3rd Pl,наката́ют
Past M,наката́л
Past F,наката́ла
Past N,наката́ло
Past PL,наката́ли
Imp S,наката́й
Imp PL,наката́йте
