Infinitive,напе́ть
Zaliznyak Class,12b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,напе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напе́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,напе́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,напе́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,напою́
2nd Sing,напоёшь
3rd Sing,напоёт
1st Pl,напоём
2nd Pl,напоёте
3rd Pl,напою́т
Past M,напе́л
Past F,напе́ла
Past N,напе́ло
Past PL,напе́ли
Imp S,напо́й
Imp PL,напо́йте
