Infinitive,насле́довать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,насле́дующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,насле́довавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,насле́дуемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,насле́дованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,насле́дуя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,насле́довав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,насле́довавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,насле́дую
2nd Sing,насле́дуешь
3rd Sing,насле́дует
1st Pl,насле́дуем
2nd Pl,насле́дуете
3rd Pl,насле́дуют
Past M,насле́довал
Past F,насле́довала
Past N,насле́довало
Past PL,насле́довали
Imp S,насле́дуй
Imp PL,насле́дуйте
