Infinitive,нанима́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нанима́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,нанима́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нанима́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,нанима́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нанима́юсь
2nd Sing,нанима́ешься
3rd Sing,нанима́ется
1st Pl,нанима́емся
2nd Pl,нанима́етесь
3rd Pl,нанима́ются
Past M,нанима́лся
Past F,нанима́лась
Past N,нанима́лось
Past PL,нанима́лись
Imp S,нанима́йся
Imp PL,нанима́йтесь
