Infinitive,намота́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,намота́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,намо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,намота́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,намота́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,намота́ю
2nd Sing,намота́ешь
3rd Sing,намота́ет
1st Pl,намота́ем
2nd Pl,намота́ете
3rd Pl,намота́ют
Past M,намота́л
Past F,намота́ла
Past N,намота́ло
Past PL,намота́ли
Imp S,намота́й
Imp PL,намота́йте
