Infinitive,нахму́риться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нахму́рившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нахму́рившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,нахму́рюсь
2nd Sing,нахму́ришься
3rd Sing,нахму́рится
1st Pl,нахму́римся
2nd Pl,нахму́ритесь
3rd Pl,нахму́рятся
Past M,нахму́рился
Past F,нахму́рилась
Past N,нахму́рилось
Past PL,нахму́рились
Imp S,нахму́рься
Imp PL,нахму́рьтесь
