Infinitive,наня́ть
Zaliznyak Class,14b/c①
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,на́нятый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,найму́
2nd Sing,наймёшь
3rd Sing,наймёт
1st Pl,наймём
2nd Pl,наймёте
3rd Pl,найму́т
Past M,на́нял
Past F,наняла́
Past N,на́няло
Past PL,на́няли
Imp S,найми́
Imp PL,найми́те
