Infinitive,напя́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,напя́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напя́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,напя́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,напя́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,напя́лю
2nd Sing,напя́лишь
3rd Sing,напя́лит
1st Pl,напя́лим
2nd Pl,напя́лите
3rd Pl,напя́лят
Past M,напя́лил
Past F,напя́лила
Past N,напя́лило
Past PL,напя́лили
Imp S,напя́ль
Imp PL,напя́льте
