Infinitive,натренирова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,натренирова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,натрениро́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,натренирова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,натренирова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,натрениру́ю
2nd Sing,натрениру́ешь
3rd Sing,натрениру́ет
1st Pl,натрениру́ем
2nd Pl,натрениру́ете
3rd Pl,натрениру́ют
Past M,натренирова́л
Past F,натренирова́ла
Past N,натренирова́ло
Past PL,натренирова́ли
Imp S,натрениру́й
Imp PL,натрениру́йте
