Infinitive,нака́пливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нака́пливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,нака́пливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нака́пливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,нака́пливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нака́пливаюсь
2nd Sing,нака́пливаешься
3rd Sing,нака́пливается
1st Pl,нака́пливаемся
2nd Pl,нака́пливаетесь
3rd Pl,нака́пливаются
Past M,нака́пливался
Past F,нака́пливалась
Past N,нака́пливалось
Past PL,нака́пливались
Imp S,нака́пливайся
Imp PL,нака́пливайтесь
