Infinitive,навороти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,навороти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наворо́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,навороти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,навороти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наворочу́
2nd Sing,наворо́тишь
3rd Sing,наворо́тит
1st Pl,наворо́тим
2nd Pl,наворо́тите
3rd Pl,наворо́тят
Past M,навороти́л
Past F,навороти́ла
Past N,навороти́ло
Past PL,навороти́ли
Imp S,навороти́
Imp PL,навороти́те
