Infinitive,нагле́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,нагле́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,нагле́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нагле́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,нагле́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,нагле́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,нагле́ю
2nd Sing,нагле́ешь
3rd Sing,нагле́ет
1st Pl,нагле́ем
2nd Pl,нагле́ете
3rd Pl,нагле́ют
Past M,нагле́л
Past F,нагле́ла
Past N,нагле́ло
Past PL,нагле́ли
Imp S,нагле́й
Imp PL,нагле́йте
