Infinitive,натаска́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,натаска́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ната́сканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,натаска́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,натаска́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,натаска́ю
2nd Sing,натаска́ешь
3rd Sing,натаска́ет
1st Pl,натаска́ем
2nd Pl,натаска́ете
3rd Pl,натаска́ют
Past M,натаска́л
Past F,натаска́ла
Past N,натаска́ло
Past PL,натаска́ли
Imp S,натаска́й
Imp PL,натаска́йте
