Infinitive,начерти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,начерти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наче́рченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,начерти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,начерти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,начерчу́
2nd Sing,наче́ртишь
3rd Sing,наче́ртит
1st Pl,наче́ртим
2nd Pl,наче́ртите
3rd Pl,наче́ртят
Past M,начерти́л
Past F,начерти́ла
Past N,начерти́ло
Past PL,начерти́ли
Imp S,начерти́
Imp PL,начерти́те
