Infinitive,насе́сть
Zaliznyak Class,7a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,насе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,насе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,насе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,нася́ду
2nd Sing,нася́дешь
3rd Sing,нася́дет
1st Pl,нася́дем
2nd Pl,нася́дете
3rd Pl,нася́дут
Past M,насе́л
Past F,насе́ла
Past N,насе́ло
Past PL,насе́ли
Imp S,нася́дь
Imp PL,нася́дьте
