Infinitive,насви́стывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,насви́стывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,насви́стывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,насви́стываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,насви́стывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,насви́стывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,насви́стывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,насви́стываю
2nd Sing,насви́стываешь
3rd Sing,насви́стывает
1st Pl,насви́стываем
2nd Pl,насви́стываете
3rd Pl,насви́стывают
Past M,насви́стывал
Past F,насви́стывала
Past N,насви́стывало
Past PL,насви́стывали
Imp S,насви́стывай
Imp PL,насви́стывайте
