Infinitive,нарыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нарыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,нарыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нарыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,нарыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нарыва́юсь
2nd Sing,нарыва́ешься
3rd Sing,нарыва́ется
1st Pl,нарыва́емся
2nd Pl,нарыва́етесь
3rd Pl,нарыва́ются
Past M,нарыва́лся
Past F,нарыва́лась
Past N,нарыва́лось
Past PL,нарыва́лись
Imp S,нарыва́йся
Imp PL,нарыва́йтесь
