Infinitive,натере́ть
Zaliznyak Class,9b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,натёрший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,натёртый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,натере́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,натёрши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,натру́
2nd Sing,натрёшь
3rd Sing,натрёт
1st Pl,натрём
2nd Pl,натрёте
3rd Pl,натру́т
Past M,натёр
Past F,натёрла
Past N,натёрло
Past PL,натёрли
Imp S,натри́
Imp PL,натри́те
