Infinitive,наеда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наеда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наеда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наеда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наеда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наеда́юсь
2nd Sing,наеда́ешься
3rd Sing,наеда́ется
1st Pl,наеда́емся
2nd Pl,наеда́етесь
3rd Pl,наеда́ются
Past M,наеда́лся
Past F,наеда́лась
Past N,наеда́лось
Past PL,наеда́лись
Imp S,наеда́йся
Imp PL,наеда́йтесь
