Infinitive,насмотре́ться
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,насмотре́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,насмотре́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,насмотрю́сь
2nd Sing,насмо́тришься
3rd Sing,насмо́трится
1st Pl,насмо́тримся
2nd Pl,насмо́тритесь
3rd Pl,насмо́трятся
Past M,насмотре́лся
Past F,насмотре́лась
Past N,насмотре́лось
Past PL,насмотре́лись
Imp S,насмотри́сь
Imp PL,насмотри́тесь
