Infinitive,накрича́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,накрича́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,накрича́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,накрича́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,накричу́
2nd Sing,накричи́шь
3rd Sing,накричи́т
1st Pl,накричи́м
2nd Pl,накричи́те
3rd Pl,накрича́т
Past M,накрича́л
Past F,накрича́ла
Past N,накрича́ло
Past PL,накрича́ли
Imp S,накричи́
Imp PL,накричи́те
