Infinitive,навали́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,навали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нава́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,навали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,навали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,навалю́
2nd Sing,нава́лишь
3rd Sing,нава́лит
1st Pl,нава́лим
2nd Pl,нава́лите
3rd Pl,нава́лят
Past M,навали́л
Past F,навали́ла
Past N,навали́ло
Past PL,навали́ли
Imp S,навали́
Imp PL,навали́те
