Infinitive,написа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,написа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напи́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,написа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,написа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,напишу́
2nd Sing,напи́шешь
3rd Sing,напи́шет
1st Pl,напи́шем
2nd Pl,напи́шете
3rd Pl,напи́шут
Past M,написа́л
Past F,написа́ла
Past N,написа́ло
Past PL,написа́ли
Imp S,напиши́
Imp PL,напиши́те
