Infinitive,наговори́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наговори́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наговори́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,наговорю́сь
2nd Sing,наговори́шься
3rd Sing,наговори́тся
1st Pl,наговори́мся
2nd Pl,наговори́тесь
3rd Pl,наговоря́тся
Past M,наговори́лся
Past F,наговори́лась
Past N,наговори́лось
Past PL,наговори́лись
Imp S,наговори́сь
Imp PL,наговори́тесь
