Infinitive,насмеха́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,насмеха́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,насмеха́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,насмеха́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,насмеха́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,насмеха́юсь
2nd Sing,насмеха́ешься
3rd Sing,насмеха́ется
1st Pl,насмеха́емся
2nd Pl,насмеха́етесь
3rd Pl,насмеха́ются
Past M,насмеха́лся
Past F,насмеха́лась
Past N,насмеха́лось
Past PL,насмеха́лись
Imp S,насмеха́йся
Imp PL,насмеха́йтесь
