Infinitive,настоя́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,настоя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,настоя́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,настоя́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,настою́
2nd Sing,настои́шь
3rd Sing,настои́т
1st Pl,настои́м
2nd Pl,настои́те
3rd Pl,настоя́т
Past M,настоя́л
Past F,настоя́ла
Past N,настоя́ло
Past PL,настоя́ли
Imp S,—
Imp PL,—
