Infinitive,наниза́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наниза́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нани́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наниза́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наниза́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нанижу́
2nd Sing,нани́жешь
3rd Sing,нани́жет
1st Pl,нани́жем
2nd Pl,нани́жете
3rd Pl,нани́жут
Past M,наниза́л
Past F,наниза́ла
Past N,наниза́ло
Past PL,наниза́ли
Imp S,нанижи́
Imp PL,нанижи́те
